,year,kind,rating,vote,runtime,first_country,num_language,first_genre,second_genre,first_actor,second_actor,first_director,first_composer,first_writer
294,1998,2,7,71.0,85.0,62,1,6,13,280,2515,4121,2652,5036
295,1993,4,8,12130.0,30.0,62,1,5,8,3846,1047,4121,2652,3599
296,1987,3,6,152.0,105.0,61,1,5,8,1800,2058,1905,2089,4607
297,1988,3,4,157.0,100.0,62,1,7,25,2866,2618,642,372,2272
298,2003,3,6,5187.0,73.0,62,1,0,6,3228,4772,4105,855,4676
299,1989,1,7,26201.0,105.0,62,1,6,0,3232,4745,2681,2652,3264
300,1994,1,5,2172.0,22.0,41,2,1,8,1571,2098,1232,1949,1486
301,1992,4,8,12573.0,103.0,67,0,2,1,3489,2902,4121,2652,1791
302,1959,1,6,798.0,112.0,61,1,4,0,4516,4395,3421,1227,2126
303,1991,1,6,31473.0,56.0,62,1,4,0,871,2597,3631,577,3450
304,1987,1,7,13238.0,89.0,65,2,4,8,2987,772,2996,282,1285
305,1992,1,7,9743.0,112.0,23,2,7,20,756,5583,3434,1904,1357
306,1997,7,7,23.0,103.0,62,1,6,0,1339,2687,4121,2652,5036
307,1999,1,6,1102.0,60.0,62,1,7,15,2823,2014,3887,1966,294
308,2002,3,5,1046.0,100.0,62,1,0,2,15,4752,1368,1763,3772
309,1994,1,6,1678.0,81.0,61,2,4,6,3181,2593,1916,349,1827
310,1998,1,5,337.0,88.0,27,1,23,0,1362,2776,1823,1967,4290
311,1983,1,4,1725.0,82.0,58,2,0,2,1953,710,4083,590,1823
312,1996,4,7,320.0,86.0,67,2,0,20,3148,5731,4121,2652,4241
313,2004,3,6,19356.0,92.0,62,5,0,2,3468,5111,3068,1343,1028
314,1978,1,7,243607.0,171.0,62,1,13,25,1279,2362,1875,1238,2287
315,1987,4,8,108089.0,90.0,62,3,0,2,3572,2763,4121,2652,1535
316,1984,4,7,1375.0,91.0,37,2,2,1,4465,3185,4121,2652,342
317,2001,1,6,49504.0,778.0,62,5,0,6,3938,1522,1911,172,2323
318,1996,1,5,33285.0,207.0,4,1,0,2,538,3160,3587,577,2817
319,2003,1,8,3701.0,165.0,62,1,6,4,3892,5446,1791,2652,5036
320,1958,1,5,3934.0,125.0,61,2,13,21,1518,3240,3123,2310,2215
321,1996,1,7,271.0,25.0,62,1,6,0,1258,3623,3125,2652,5036
322,1998,7,7,24.0,90.0,62,2,6,15,1696,0,2762,2652,3364
323,2001,1,7,3536.0,88.0,4,1,4,20,3467,1596,3212,2652,3904
324,1997,0,7,115.0,105.0,62,1,6,4,4406,3502,2603,2652,3444
325,1943,1,7,4413.0,60.0,62,1,16,25,444,4149,3424,940,435
326,2004,7,4,264.0,142.0,62,1,2,5,2482,5198,2730,1103,2117
327,1966,1,7,8319.0,115.0,37,2,0,6,4520,933,3520,931,4974
328,1972,1,6,1282.0,80.0,23,2,7,0,689,2454,301,559,387
329,1991,1,7,132759.0,30.0,62,1,5,8,1856,3373,1956,2311,2374
330,1995,1,6,1701.0,92.0,23,1,7,0,4773,530,332,2652,2528
331,2000,3,8,80.0,52.0,62,1,6,15,1266,2765,2290,2652,1146
332,2003,0,6,8.0,90.0,67,0,6,13,3750,4119,1658,2652,5036
334,1997,7,7,23.0,82.0,67,0,26,0,4926,0,4121,2652,5036
335,1959,1,7,3722.0,138.0,61,1,7,0,3849,1037,3900,397,2353
336,1971,1,3,2021.0,98.0,62,1,13,21,1925,3380,72,2593,4933
337,2001,3,6,167.0,22.0,61,1,4,0,1327,4924,945,2652,1894
338,1928,1,7,3417.0,95.0,24,2,18,25,4052,1903,1229,2579,4629
339,1944,1,7,5042.0,25.0,62,1,5,17,444,4149,3424,1941,1246
340,1960,1,7,29391.0,33.0,23,1,7,14,3714,203,1320,1663,2070
341,1959,1,7,8598.0,107.0,61,2,4,0,3677,2438,1584,688,4078
342,2000,0,7,157.0,99.0,62,1,6,4,1638,4365,3344,2652,4044
343,1995,2,6,240.0,98.0,37,1,2,2,3838,3127,4121,2652,4576
344,1959,1,7,2736.0,60.0,61,3,5,8,2348,2166,1574,1491,3522
345,2001,1,7,361.0,180.0,24,4,6,4,692,285,905,866,2579
346,2005,7,2,440.0,90.0,62,1,0,5,1031,2040,679,2491,791
347,1983,1,8,3524.0,113.0,62,1,6,5,507,0,355,2652,449
348,1998,0,5,529.0,90.0,10,1,8,10,1762,1092,3398,292,4109
349,2004,4,8,63182.0,182.0,10,2,0,2,2270,4471,4121,2652,3973
350,1994,1,5,296.0,30.0,27,2,0,6,1362,940,1822,1599,2220
351,2003,1,7,9346.0,99.0,62,1,6,4,4698,47,2284,1771,5036
352,1986,1,5,147.0,50.0,62,1,6,22,4610,4877,2214,254,408
353,1994,7,6,41.0,113.0,10,2,6,10,2956,5221,1710,2064,4396
354,1992,1,7,1135.0,52.0,62,1,6,13,3487,4705,2618,182,5036
355,1999,1,7,23026.0,173.0,61,1,4,8,1769,5272,2929,1517,2030
356,2001,1,7,6262.0,87.0,1,1,4,8,3172,1969,2377,2652,2927
357,1999,3,7,116.0,86.0,62,1,6,21,3572,5673,2542,735,1051
358,2004,1,6,10247.0,183.0,61,1,7,17,1046,4898,3373,1172,1845
359,2001,7,6,23.0,95.0,62,1,14,0,4221,0,4121,1804,5036
360,1994,1,6,1079.0,93.0,23,1,7,20,1917,1168,646,2652,908
361,2002,1,7,1086.0,110.0,62,1,6,23,27,5463,1457,581,1743
362,1991,1,4,1143.0,60.0,58,1,0,10,820,2460,685,104,721
363,1984,3,5,1531.0,360.0,62,1,13,21,3977,2597,4007,2386,3916
364,2000,1,4,1381.0,54.0,10,1,13,25,18,2822,2451,2350,3879
365,2003,7,8,803.0,87.0,7,2,6,15,4063,1837,782,830,5036
366,2005,3,8,307.0,30.0,62,1,6,15,1393,3354,3264,2652,455
367,2003,1,4,306.0,77.0,27,2,4,20,1362,5639,3982,1402,1784
368,1984,2,8,2066.0,88.0,61,1,7,13,4576,1896,4121,2652,3643
369,1954,1,8,328689.0,170.0,37,1,0,2,4670,5265,68,804,91
